Genotype,Environment,Yield
Genotype180,Env10,5435.126024
Genotype181,Env10,1206.554074
Genotype182,Env10,4424.68441
Genotype183,Env10,1499.522523
Genotype184,Env10,4702.247268
Genotype185,Env10,3361.743549
Genotype186,Env10,5293.075109
Genotype187,Env10,4930.29666
Genotype188,Env10,2576.297384
Genotype189,Env10,3180.386634
Genotype190,Env10,5035.776009
Genotype191,Env10,4525.860884
Genotype192,Env10,4166.661545
Genotype193,Env10,5835.228195
Genotype194,Env10,5685.918459
Genotype195,Env10,4641.248373
Genotype196,Env10,5132.279185
Genotype197,Env10,4654.490773
Genotype198,Env10,3719.612234
Genotype199,Env10,5084.380074
Genotype200,Env10,4963.688459
Genotype2,Env11,2563.2221
Genotype3,Env11,2641.94345
Genotype4,Env11,3174.9972
Genotype5,Env11,3750.03715
Genotype6,Env11,2543.3455
Genotype7,Env11,3319.7384
Genotype8,Env11,3741.71555
Genotype9,Env11,3855.1328
Genotype10,Env11,1503.91435
Genotype11,Env11,3594.84035
Genotype12,Env11,1603.4976
Genotype13,Env11,2951.8302
Genotype14,Env11,2667.9258
Genotype15,Env11,2530.0117
Genotype16,Env11,1567.3056
Genotype17,Env11,2018.1659
Genotype18,Env11,1891.0799
Genotype19,Env11,2565.5341
Genotype20,Env11,2719.26785
Genotype21,Env11,2928.06095
Genotype22,Env11,2975.0473
Genotype23,Env11,1536.65
Genotype24,Env11,2483.8518
Genotype25,Env11,2858.66635
Genotype26,Env11,2312.93265
Genotype27,Env11,2525.98385
Genotype28,Env11,2766.79385
Genotype29,Env11,2239.7529
Genotype30,Env11,3518.4715
Genotype31,Env11,2604.49335
Genotype32,Env11,2999.39275
Genotype33,Env11,2112.25295
Genotype34,Env11,2469.61835
Genotype35,Env11,2738.01175
Genotype36,Env11,2024.93095
Genotype37,Env11,2975.63975
Genotype38,Env11,2301.406
Genotype39,Env11,2472.24565
Genotype40,Env11,2227.14025
Genotype41,Env11,2543.53585
Genotype42,Env11,2550.9378
Genotype43,Env11,3631.94045
Genotype44,Env11,2285.5505
Genotype45,Env11,3552.4615
Genotype46,Env11,3262.4396
Genotype47,Env11,2888.80245
Genotype48,Env11,2344.23145
Genotype49,Env11,2704.81475
Genotype50,Env11,1585.32715
Genotype51,Env11,1841.47595
Genotype52,Env11,638.6232
Genotype53,Env11,2608.61105
Genotype54,Env11,2843.825
Genotype55,Env11,1310.476
Genotype56,Env11,2489.40195
Genotype57,Env11,2042.86985
Genotype58,Env11,2391.774
Genotype59,Env11,677.1103
Genotype60,Env11,2576.41715
Genotype61,Env11,2593.18745
Genotype62,Env11,2020.7122
Genotype63,Env11,3120.7304
Genotype64,Env11,3300.08555
Genotype65,Env11,2103.3119
Genotype66,Env11,2307.59735
Genotype67,Env11,2911.59155
Genotype68,Env11,3170.5414
Genotype69,Env11,2470.1306
Genotype70,Env11,2570.19625
Genotype71,Env11,2814.47615
Genotype72,Env11,2893.0896
Genotype73,Env11,1364.88705
Genotype74,Env11,3433.83585
Genotype75,Env11,887.3292
Genotype76,Env11,2591.04655
Genotype77,Env11,2025.2359
Genotype78,Env11,2866.58655
Genotype79,Env11,2039.15915
Genotype80,Env11,2586.8568
Genotype81,Env11,1450.8013
Genotype82,Env11,2766.78045
Genotype83,Env11,2713.80805
Genotype84,Env11,2633.7676
Genotype85,Env11,2560.1053
Genotype86,Env11,2338.5081
Genotype87,Env11,2497.0076
Genotype88,Env11,2847.5657
Genotype89,Env11,3697.9145
Genotype90,Env11,2610.4161
Genotype91,Env11,2480.36415
Genotype92,Env11,2853.1068
Genotype93,Env11,2529.25335
Genotype94,Env11,1736.7574
Genotype95,Env11,1978.125
Genotype96,Env11,2854.91285
Genotype97,Env11,2549.2741
Genotype98,Env11,1264.3754
Genotype99,Env11,3562.0255
Genotype100,Env11,3393.412
Genotype101,Env11,2891.0161
Genotype102,Env11,3253.08585
Genotype103,Env11,2287.76165
Genotype104,Env11,1997.10395
Genotype105,Env11,2626.4534
Genotype106,Env11,2625.6832
Genotype107,Env11,3282.1703
Genotype108,Env11,2658.39025
Genotype109,Env11,2398.69195
Genotype110,Env11,3323.0748
Genotype111,Env11,2260.20705
Genotype112,Env11,2502.363
Genotype113,Env11,3319.2321
Genotype114,Env11,2047.49465
Genotype115,Env11,3349.12525
Genotype116,Env11,3436.3511
Genotype117,Env11,3267.0021
Genotype118,Env11,3372.2747
Genotype119,Env11,3212.5466
Genotype120,Env11,2879.83405
Genotype121,Env11,3269.8644
Genotype122,Env11,2328.7133
Genotype123,Env11,2573.77075
Genotype124,Env11,2480.8885
Genotype125,Env11,3639.51955
Genotype126,Env11,4050.9102
Genotype127,Env11,3434.0856
Genotype128,Env11,2989.7109
Genotype129,Env11,2896.7437
Genotype130,Env11,1628.1069
Genotype131,Env11,2232.72525
Genotype132,Env11,2396.80125
Genotype133,Env11,3931.41035
Genotype134,Env11,2882.8129
Genotype135,Env11,1696.5116
Genotype136,Env11,3653.2514
Genotype137,Env11,2984.36575
Genotype138,Env11,2458.26225
Genotype139,Env11,3574.88955
Genotype140,Env11,3113.31685
Genotype141,Env11,1495.8249
Genotype142,Env11,2903.0719
Genotype143,Env11,2467.67445
Genotype144,Env11,3601.881
Genotype145,Env11,3378.8771
Genotype146,Env11,2982.30635
Genotype147,Env11,2164.4622
Genotype148,Env11,3492.56665
Genotype149,Env11,2750.576
Genotype150,Env11,3763.305
Genotype151,Env11,3445.83585
Genotype152,Env11,3247.72195
Genotype153,Env11,3305.69435
Genotype154,Env11,3286.01905
Genotype155,Env11,2880.01995
Genotype156,Env11,2563.88805
Genotype157,Env11,2641.4621
Genotype158,Env11,2971.6234
Genotype159,Env11,3360.72665
Genotype160,Env11,2409.92015
Genotype161,Env11,3374.8692
Genotype162,Env11,3820.76465
Genotype163,Env11,2897.7216
Genotype164,Env11,3375.7142
Genotype165,Env11,2868.8558
Genotype166,Env11,2831.4262
Genotype167,Env11,3203.87925
Genotype168,Env11,3300.60985
Genotype169,Env11,2595.45785
Genotype170,Env11,2904.48195
Genotype171,Env11,2327.49905
Genotype172,Env11,2872.95775
Genotype173,Env11,1687.7856
Genotype174,Env11,2188.77905
Genotype175,Env11,3480.5122
Genotype176,Env11,2423.8844
Genotype177,Env11,1535.31285
Genotype178,Env11,1342.33435
Genotype179,Env11,2653.98975
Genotype180,Env11,2065.10805
Genotype181,Env11,828.93965
Genotype182,Env11,1572.0667
Genotype183,Env11,769.19975
Genotype184,Env11,1877.2166
Genotype185,Env11,2301.74615
Genotype186,Env11,3243.81705
Genotype187,Env11,2603.0778
Genotype188,Env11,3331.84315
Genotype189,Env11,3293.50555
Genotype190,Env11,2772.66345
Genotype191,Env11,3065.3361
Genotype192,Env11,1775.8557
Genotype193,Env11,2631.84255
Genotype194,Env11,2904.06975
Genotype195,Env11,1906.6243
Genotype196,Env11,3513.69265
Genotype197,Env11,3189.0994
Genotype198,Env11,3895.69235
Genotype199,Env11,4030.4087
Genotype200,Env11,1902.182
Genotype2,Env2,4040.390983
Genotype3,Env2,4835.086283
Genotype4,Env2,6094.803086
Genotype5,Env2,5119.432791
Genotype6,Env2,4943.042173
Genotype7,Env2,4367.202707
Genotype8,Env2,5587.365253
Genotype9,Env2,4070.955223
Genotype10,Env2,4226.811923
Genotype11,Env2,5646.973686
Genotype12,Env2,4384.826373
Genotype13,Env2,5783.568369
Genotype14,Env2,5803.854857
